trained model checkpoints/epoch_34_listener is loaded
trained model checkpoints/epoch_34_speller is loaded
[0/328][326/578] prediction done | time : 0.47s
[0/328][327/578] prediction done | time : 0.46s
[0/328][328/578] prediction done | time : 0.47s
[0/328][329/578] prediction done | time : 0.47s
[0/328][330/578] prediction done | time : 0.47s
[0/328][331/578] prediction done | time : 0.47s
[0/328][332/578] prediction done | time : 0.47s
[0/328][333/578] prediction done | time : 0.47s
[0/328][334/578] prediction done | time : 0.48s
[0/328][335/578] prediction done | time : 0.48s
[0/328][336/578] prediction done | time : 0.48s
[0/328][337/578] prediction done | time : 0.48s
[0/328][338/578] prediction done | time : 0.48s
[0/328][339/578] prediction done | time : 0.48s
[0/328][340/578] prediction done | time : 0.48s
[0/328][341/578] prediction done | time : 0.49s
[0/328][342/578] prediction done | time : 0.49s
[0/328][343/578] prediction done | time : 0.49s
[0/328][344/578] prediction done | time : 0.49s
[0/328][345/578] prediction done | time : 0.50s
[0/328][346/578] prediction done | time : 0.50s
[0/328][347/578] prediction done | time : 0.50s
[0/328][348/578] prediction done | time : 0.50s
[0/328][349/578] prediction done | time : 0.50s
[0/328][350/578] prediction done | time : 0.50s
[0/328][351/578] prediction done | time : 0.50s
[0/328][352/578] prediction done | time : 0.50s
[0/328][353/578] prediction done | time : 0.50s
[0/328][354/578] prediction done | time : 0.50s
[0/328][355/578] prediction done | time : 0.51s
[0/328][356/578] prediction done | time : 0.51s
[0/328][357/578] prediction done | time : 0.51s
[0/328][358/578] prediction done | time : 0.51s
[0/328][359/578] prediction done | time : 0.51s
[0/328][360/578] prediction done | time : 0.52s
[0/328][361/578] prediction done | time : 0.52s
[0/328][362/578] prediction done | time : 0.52s
[0/328][363/578] prediction done | time : 0.52s
[0/328][364/578] prediction done | time : 0.52s
[0/328][365/578] prediction done | time : 0.52s
[0/328][366/578] prediction done | time : 0.52s
[0/328][367/578] prediction done | time : 0.53s
[0/328][368/578] prediction done | time : 0.53s
[0/328][369/578] prediction done | time : 0.53s
[0/328][370/578] prediction done | time : 0.53s
[0/328][371/578] prediction done | time : 0.53s
[0/328][372/578] prediction done | time : 0.53s
[0/328][373/578] prediction done | time : 0.53s
[0/328][374/578] prediction done | time : 0.54s
[0/328][375/578] prediction done | time : 0.53s
[0/328][376/578] prediction done | time : 0.54s
[0/328][377/578] prediction done | time : 0.54s
[0/328][378/578] prediction done | time : 0.54s
[0/328][379/578] prediction done | time : 0.54s
[0/328][380/578] prediction done | time : 0.54s
[0/328][381/578] prediction done | time : 0.54s
[0/328][382/578] prediction done | time : 0.54s
[0/328][383/578] prediction done | time : 0.55s
[0/328][384/578] prediction done | time : 0.55s
[0/328][385/578] prediction done | time : 0.55s
[0/328][386/578] prediction done | time : 0.55s
[0/328][387/578] prediction done | time : 0.55s
[0/328][388/578] prediction done | time : 0.56s
[0/328][389/578] prediction done | time : 0.56s
[0/328][390/578] prediction done | time : 0.56s
[0/328][391/578] prediction done | time : 0.56s
[0/328][392/578] prediction done | time : 0.56s
[0/328][393/578] prediction done | time : 0.57s
[0/328][394/578] prediction done | time : 0.56s
[0/328][395/578] prediction done | time : 0.56s
[0/328][396/578] prediction done | time : 0.56s
[0/328][397/578] prediction done | time : 0.57s
[0/328][398/578] prediction done | time : 0.57s
[0/328][399/578] prediction done | time : 0.57s
[0/328][400/578] prediction done | time : 0.57s
[0/328][401/578] prediction done | time : 0.57s
[0/328][402/578] prediction done | time : 0.57s
[0/328][403/578] prediction done | time : 0.58s
[0/328][404/578] prediction done | time : 0.58s
[0/328][405/578] prediction done | time : 0.58s
[0/328][406/578] prediction done | time : 0.58s
[0/328][407/578] prediction done | time : 0.58s
[0/328][408/578] prediction done | time : 0.58s
[0/328][409/578] prediction done | time : 0.58s
[0/328][410/578] prediction done | time : 0.59s
[0/328][411/578] prediction done | time : 0.58s
[0/328][412/578] prediction done | time : 0.59s
[0/328][413/578] prediction done | time : 0.59s
[0/328][414/578] prediction done | time : 0.59s
[0/328][415/578] prediction done | time : 0.59s
[0/328][416/578] prediction done | time : 0.59s
[0/328][417/578] prediction done | time : 0.59s
[0/328][418/578] prediction done | time : 0.59s
[0/328][419/578] prediction done | time : 0.60s
[0/328][420/578] prediction done | time : 0.60s
[0/328][421/578] prediction done | time : 0.61s
[0/328][422/578] prediction done | time : 0.60s
[0/328][423/578] prediction done | time : 0.60s
[0/328][424/578] prediction done | time : 0.61s
[0/328][425/578] prediction done | time : 0.61s
[0/328][426/578] prediction done | time : 0.63s
[0/328][427/578] prediction done | time : 0.62s
[0/328][428/578] prediction done | time : 0.63s
[0/328][429/578] prediction done | time : 0.62s
[0/328][430/578] prediction done | time : 0.61s
[0/328][431/578] prediction done | time : 0.62s
[0/328][432/578] prediction done | time : 0.62s
[0/328][433/578] prediction done | time : 0.62s
[0/328][434/578] prediction done | time : 0.62s
[0/328][435/578] prediction done | time : 0.62s
[0/328][436/578] prediction done | time : 0.63s
[0/328][437/578] prediction done | time : 0.62s
[0/328][438/578] prediction done | time : 0.63s
[0/328][439/578] prediction done | time : 0.63s
[0/328][440/578] prediction done | time : 0.63s
[0/328][441/578] prediction done | time : 0.63s
[0/328][442/578] prediction done | time : 0.64s
[0/328][443/578] prediction done | time : 0.64s
[0/328][444/578] prediction done | time : 0.64s
[0/328][445/578] prediction done | time : 0.63s
[0/328][446/578] prediction done | time : 0.64s
[0/328][447/578] prediction done | time : 0.64s
[0/328][448/578] prediction done | time : 0.64s
[0/328][449/578] prediction done | time : 0.64s
[0/328][450/578] prediction done | time : 0.64s
[0/328][451/578] prediction done | time : 0.64s
[0/328][452/578] prediction done | time : 0.64s
[0/328][453/578] prediction done | time : 0.65s
